#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log
1	33.333	0.971
2	23.300	0.940
3	29.281	0.919
4	32.958	0.898
5	36.337	0.884
6	39.485	0.873
7	42.382	0.861
8	44.197	0.854
9	45.440	0.848
10	46.666	0.841
11	47.590	0.839
12	49.397	0.832
13	49.899	0.824
14	50.373	0.820
15	50.868	0.815
16	51.537	0.810
17	51.891	0.806
18	52.152	0.803
19	52.303	0.801
20	52.371	0.798
21	52.654	0.795
22	52.848	0.793
23	52.990	0.790
24	53.053	0.788
25	53.248	0.785
26	53.128	0.784
27	53.176	0.782
28	53.122	0.779
29	53.100	0.780
30	53.164	0.779
31	53.123	0.778
32	53.296	0.776
33	53.251	0.775
34	53.457	0.774
35	53.388	0.773
36	53.592	0.770
37	53.615	0.768
38	53.718	0.765
39	53.617	0.763
40	53.679	0.762
41	53.857	0.760
42	53.751	0.760
43	53.763	0.760
44	53.778	0.759
45	53.874	0.759
46	53.860	0.758
47	53.860	0.757
48	53.868	0.755
49	53.820	0.753
50	53.784	0.752
51	53.866	0.752
52	53.855	0.752
53	53.798	0.752
54	53.790	0.752
55	53.755	0.751
56	53.775	0.750
57	53.736	0.748
58	53.736	0.747
59	53.741	0.746
60	53.750	0.746
