#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log
1	34.482	0.972
2	23.529	0.943
3	32.065	0.919
4	33.208	0.901
5	37.609	0.887
6	39.767	0.875
7	42.632	0.863
8	44.047	0.856
9	45.958	0.848
10	46.933	0.844
11	48.267	0.840
12	49.071	0.834
13	50.100	0.827
14	50.836	0.822
15	51.304	0.818
16	51.701	0.814
17	52.127	0.810
18	52.285	0.806
19	53.008	0.804
20	52.756	0.801
21	52.941	0.800
22	53.193	0.797
23	53.314	0.793
24	53.556	0.791
25	53.740	0.789
26	53.812	0.787
27	53.882	0.785
28	53.842	0.783
29	54.004	0.784
30	54.177	0.782
31	54.260	0.779
32	54.344	0.778
33	54.458	0.775
34	54.548	0.773
35	54.394	0.775
36	54.360	0.775
37	54.192	0.776
38	54.361	0.775
39	54.434	0.773
40	54.591	0.772
41	54.773	0.769
42	54.697	0.768
43	54.911	0.766
44	54.804	0.765
45	54.845	0.765
46	54.880	0.763
47	54.941	0.762
48	54.946	0.761
49	54.959	0.760
50	54.962	0.760
51	54.308	0.760
52	53.744	0.761
53	53.213	0.762
54	52.967	0.765
55	52.946	0.766
56	53.048	0.767
57	53.169	0.765
58	53.244	0.763
59	53.386	0.762
60	53.437	0.762
