#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log
1	33.333	0.971
2	22.772	0.943
3	26.455	0.919
4	30.798	0.908
5	33.430	0.897
6	38.262	0.887
7	40.159	0.878
8	42.857	0.869
9	44.693	0.861
10	45.733	0.854
11	47.539	0.850
12	47.816	0.844
13	49.295	0.837
14	50.046	0.832
15	50.733	0.826
16	50.891	0.823
17	51.217	0.820
18	51.539	0.816
19	51.859	0.811
20	52.051	0.808
21	52.123	0.805
22	52.643	0.803
23	53.019	0.799
24	53.128	0.797
25	53.279	0.794
26	53.242	0.791
27	53.578	0.790
28	53.689	0.788
29	53.809	0.786
30	53.797	0.784
31	53.880	0.782
32	54.089	0.781
33	54.055	0.779
34	54.234	0.777
35	54.151	0.776
36	54.287	0.772
37	54.254	0.771
38	54.319	0.770
39	54.431	0.769
40	54.433	0.768
41	54.447	0.767
42	54.496	0.766
43	54.622	0.765
44	54.592	0.763
45	54.603	0.762
46	54.679	0.761
47	54.657	0.759
48	54.659	0.758
49	54.731	0.757
50	54.686	0.757
51	54.668	0.757
52	54.781	0.755
53	54.734	0.754
54	54.811	0.753
55	54.855	0.752
56	54.811	0.751
57	54.833	0.751
58	54.860	0.750
59	54.774	0.749
60	54.833	0.749
