#time(min)   pdr
1 0.00
2 94.44
3 55.00
4 73.33
5 87.50
6 70.58
7 68.75
8 88.23
9 63.15
10 87.50
11 63.15
12 114.28
13 68.42
14 70.58
15 68.75
16 93.33
17 73.68
18 61.11
19 86.66
20 88.88
21 63.15
22 86.66
23 61.11
24 87.50
25 76.47
26 88.23
27 61.11
28 93.33
29 72.22
30 70.58
31 75.00
32 93.75
33 75.00
34 61.11
35 73.33
36 75.00
37 93.75
38 68.42
39 70.58
40 64.70
41 80.00
42 105.88
43 40.90
44 123.07
45 72.22
46 66.66
47 64.70
48 87.50
49 57.89
50 73.33
51 106.66
52 83.33
53 63.15
54 93.75
55 82.35
56 100.00
57 68.42
58 75.00
59 64.70
60 81.25
