#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-Dy-RX100%-1hr.csc.log	1s-5m-10f-Dy-RX100%-1hr.csc.log
1	100.000	0.995
2	63.157	0.943
3	74.358	0.901
4	74.545	0.878
5	74.285	0.865
6	73.255	0.851
7	73.786	0.837
8	73.553	0.826
9	74.285	0.814
10	74.193	0.806
11	74.566	0.795
12	75.789	0.791
13	76.213	0.782
14	77.578	0.771
15	77.500	0.766
16	77.131	0.759
17	76.838	0.756
18	76.975	0.749
19	76.948	0.745
20	76.615	0.743
21	76.608	0.737
22	77.094	0.734
23	77.600	0.728
24	78.005	0.724
25	78.048	0.717
26	77.751	0.714
27	77.802	0.711
28	77.292	0.715
29	77.244	0.712
30	77.373	0.710
31	77.343	0.707
32	77.651	0.704
33	77.655	0.699
34	77.345	0.701
35	77.413	0.702
36	77.424	0.700
37	77.161	0.698
38	77.020	0.695
39	77.076	0.693
40	76.992	0.692
41	77.013	0.690
42	76.967	0.689
43	76.890	0.688
44	76.744	0.685
45	76.666	0.684
46	76.753	0.683
47	76.500	0.683
48	76.779	0.681
49	76.650	0.679
50	76.886	0.679
51	77.022	0.677
52	77.073	0.678
53	77.088	0.677
54	77.187	0.675
55	77.173	0.673
56	77.243	0.671
57	77.334	0.669
58	77.319	0.667
59	77.226	0.665
60	77.213	0.663
