#time(min)   pdr
1 0.00
2 94.44
3 60.00
4 68.75
5 73.33
6 81.25
7 76.47
8 83.33
9 57.89
10 93.33
11 83.33
12 76.47
13 100.00
14 76.47
15 76.47
16 55.55
17 107.14
18 68.42
19 70.58
20 76.47
21 82.35
22 93.75
23 76.47
24 100.00
25 63.15
26 88.23
27 36.84
28 133.33
29 61.90
30 81.25
31 76.47
32 93.75
33 72.22
34 63.15
35 93.33
36 55.55
37 86.66
38 83.33
39 57.89
40 93.33
41 66.66
42 68.75
43 80.00
44 82.35
45 84.21
46 35.00
47 130.76
48 66.66
49 88.23
50 88.23
51 66.66
52 93.33
53 77.77
54 76.47
55 76.47
56 87.50
57 76.47
58 76.47
59 72.22
60 82.35
