1	350.00
2	130.00
3	153.33
4	124.00
5	115.15
6	112.50
7	112.76
8	110.90
9	107.93
10	108.57
11	106.41
12	108.23
13	104.25
14	105.00
15	105.60
16	104.34
17	104.91
18	106.15
19	102.14
20	102.75
21	104.63
22	101.87
23	104.84
24	103.42
25	102.73
26	103.15
27	102.52
28	102.92
29	102.34
30	102.72
31	102.19
32	102.97
33	101.63
34	101.60
35	102.73
36	102.64
37	101.45
38	102.14
39	101.73
40	102.37
41	101.31
42	102.25
43	101.25
44	101.23
45	102.11
46	102.35
47	100.85
48	101.97
49	101.09
50	101.08
51	101.59
52	100.77
53	102.05
54	101.25
55	101.47
56	101.44
57	101.18
58	101.39
59	101.14
60	101.12
