#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-20m-20f-Dy-RX100%-1hr.csc.log	1s-20m-20f-Dy-RX100%-1hr.csc.log
1	75.000	0.972
2	56.666	0.917
3	59.813	0.892
4	65.625	0.867
5	66.507	0.844
6	68.076	0.828
7	68.709	0.814
8	70.277	0.801
9	70.904	0.788
10	71.739	0.778
11	73.031	0.769
12	73.750	0.759
13	74.918	0.750
14	74.696	0.740
15	75.141	0.734
16	75.000	0.724
17	74.814	0.718
18	74.883	0.713
19	74.615	0.709
20	74.791	0.703
21	74.827	0.703
22	75.000	0.705
23	74.616	0.703
24	74.741	0.699
25	74.813	0.696
26	74.682	0.690
27	74.409	0.687
28	74.705	0.683
29	74.662	0.681
30	75.000	0.676
31	75.396	0.675
32	75.320	0.671
33	75.620	0.666
34	75.542	0.666
35	75.452	0.664
36	75.454	0.663
37	75.468	0.660
38	75.430	0.658
39	75.314	0.659
40	75.408	0.660
41	75.485	0.661
42	75.533	0.658
43	75.603	0.656
44	75.601	0.655
45	75.724	0.654
46	75.840	0.652
47	75.896	0.652
48	75.932	0.651
49	75.943	0.649
50	75.934	0.649
51	76.015	0.646
52	76.015	0.646
53	76.090	0.646
54	75.902	0.644
55	75.766	0.644
56	75.797	0.646
57	75.685	0.646
58	75.524	0.645
59	75.498	0.645
60	75.405	0.645
