1	200.00
2	140.00
3	129.41
4	120.00
5	112.12
6	110.00
7	110.63
8	107.27
9	108.06
10	108.57
11	103.79
12	104.70
13	105.43
14	106.00
15	102.75
16	104.34
17	103.25
18	103.07
19	103.64
20	103.44
21	102.61
22	103.12
23	102.38
24	101.14
25	103.88
26	102.63
27	102.02
28	101.46
29	102.84
30	101.36
31	102.65
32	101.70
33	102.06
34	102.40
35	100.77
36	102.26
37	100.00
38	100.00
39	100.00
40	98.64
41	99.33
42	98.70
43	97.79
44	97.53
45	96.69
46	95.88
47	94.50
48	92.67
49	90.90
50	89.72
51	88.09
52	87.01
53	85.27
54	84.25
55	83.08
56	81.92
57	81.23
58	79.76
59	78.94
60	77.75
