#time(min)   pdr
1 0.00
2 56.52
3 116.66
4 59.25
5 80.95
6 79.16
7 54.16
8 90.47
9 72.72
10 73.91
11 62.50
12 76.19
13 86.36
14 65.21
15 69.56
16 77.27
17 65.21
18 90.90
19 64.00
20 80.00
21 64.00
22 85.00
23 68.18
24 82.60
25 52.00
26 70.00
27 90.47
28 70.83
29 77.27
30 73.91
31 62.50
32 80.95
33 70.83
34 80.95
35 60.86
36 77.27
37 69.56
38 81.81
39 85.71
40 62.50
41 70.83
42 85.71
43 61.53
44 94.73
45 50.00
46 84.21
47 63.63
48 78.26
49 48.00
50 70.00
51 71.42
52 62.50
53 65.21
54 72.72
55 77.27
56 65.21
57 65.21
58 72.72
59 58.33
60 80.95
