#time(min)   pdr
1 0.00
2 56.52
3 116.66
4 62.96
5 100.00
6 76.00
7 73.91
8 95.45
9 57.69
10 78.94
11 95.23
12 66.66
13 83.33
14 61.90
15 122.22
16 66.66
17 95.23
18 75.00
19 69.56
20 86.36
21 68.00
22 70.00
23 100.00
24 70.83
25 70.83
26 95.23
27 70.83
28 76.19
29 78.26
30 77.27
31 60.00
32 80.00
33 95.23
34 70.83
35 59.09
36 78.26
37 60.00
38 85.00
39 65.21
40 68.18
41 72.72
42 65.21
43 68.18
44 82.60
45 62.50
46 85.71
47 56.00
48 90.00
49 69.56
50 95.45
51 60.00
52 80.00
53 81.81
54 69.56
55 65.21
56 95.45
57 42.85
58 100.00
59 66.66
60 80.95
