#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log
1	5.882	0.983
2	18.867	0.943
3	22.162	0.921
4	25.095	0.909
5	28.695	0.894
6	30.985	0.882
7	34.705	0.869
8	35.264	0.863
9	35.820	0.856
10	36.533	0.853
11	37.454	0.849
12	38.309	0.845
13	38.654	0.841
14	39.295	0.837
15	39.462	0.833
16	39.610	0.829
17	40.196	0.824
18	40.515	0.823
19	40.773	0.820
20	41.025	0.817
21	41.280	0.815
22	41.729	0.812
23	41.532	0.811
24	41.635	0.809
25	41.946	0.808
26	41.907	0.805
27	41.889	0.804
28	42.093	0.802
29	42.220	0.800
30	42.278	0.798
31	42.257	0.796
32	42.512	0.794
33	42.703	0.792
34	42.613	0.791
35	42.645	0.791
36	42.661	0.790
37	42.832	0.789
38	42.748	0.786
39	42.847	0.785
40	42.767	0.784
41	42.879	0.783
42	42.771	0.782
43	42.798	0.781
44	42.857	0.780
45	42.897	0.779
46	42.911	0.777
47	42.822	0.776
48	42.927	0.774
49	42.857	0.773
50	42.857	0.772
51	42.923	0.772
52	42.936	0.771
53	42.907	0.771
54	42.943	0.770
55	42.977	0.768
56	43.019	0.767
57	42.963	0.766
58	42.906	0.765
59	42.929	0.765
60	42.916	0.765
