#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log
1	5.882	0.983
2	19.417	0.944
3	22.905	0.925
4	24.137	0.911
5	28.034	0.894
6	30.841	0.883
7	31.944	0.873
8	34.412	0.864
9	35.970	0.855
10	37.333	0.849
11	39.397	0.846
12	40.131	0.841
13	40.304	0.835
14	40.837	0.831
15	41.038	0.828
16	41.390	0.824
17	41.842	0.820
18	42.011	0.816
19	42.105	0.815
20	42.243	0.813
21	42.682	0.810
22	42.940	0.806
23	43.348	0.803
24	43.266	0.800
25	43.285	0.798
26	43.429	0.796
27	43.761	0.793
28	43.415	0.793
29	43.695	0.791
30	43.628	0.790
31	43.620	0.788
32	43.777	0.786
33	43.826	0.784
34	43.775	0.783
35	43.995	0.780
36	43.997	0.778
37	44.119	0.776
38	44.076	0.775
39	43.959	0.774
40	43.962	0.773
41	43.963	0.773
42	43.781	0.772
43	43.600	0.772
44	43.623	0.773
45	43.589	0.771
46	43.686	0.769
47	43.744	0.767
48	43.715	0.766
49	43.788	0.765
50	43.784	0.764
51	43.765	0.763
52	43.780	0.762
53	43.829	0.761
54	43.821	0.759
55	43.878	0.759
56	43.900	0.757
57	43.951	0.756
58	43.926	0.754
59	44.005	0.753
60	44.041	0.753
