#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-A-RX100%-1hr.csc.log	1s-5m-10f-A-RX100%-1hr.csc.log
1	25.000	0.981
2	65.217	0.933
3	70.731	0.905
4	71.929	0.884
5	73.333	0.864
6	74.725	0.856
7	73.873	0.843
8	75.968	0.833
9	75.675	0.827
10	75.757	0.820
11	76.756	0.819
12	77.722	0.814
13	77.522	0.811
14	77.637	0.807
15	78.039	0.802
16	77.205	0.798
17	77.162	0.796
18	76.923	0.794
19	76.615	0.796
20	76.231	0.796
21	76.098	0.792
22	75.725	0.793
23	75.500	0.790
24	75.240	0.790
25	75.862	0.787
26	76.158	0.784
27	76.955	0.782
28	76.796	0.781
29	77.013	0.777
30	76.952	0.775
31	76.979	0.775
32	76.690	0.773
33	77.029	0.774
34	77.128	0.771
35	77.073	0.770
36	76.935	0.768
37	76.958	0.766
38	76.532	0.765
39	76.666	0.763
40	76.595	0.764
41	76.560	0.764
42	76.788	0.763
43	76.609	0.762
44	76.387	0.761
45	76.477	0.761
46	76.506	0.760
47	76.144	0.759
48	76.291	0.757
49	76.124	0.756
50	76.045	0.756
51	76.106	0.755
52	76.489	0.754
53	76.200	0.754
54	76.225	0.753
55	76.000	0.755
56	75.955	0.754
57	75.865	0.755
58	75.922	0.754
59	75.595	0.753
60	75.962	0.753
