#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-Dy-RX100%-1hr.csc.log	1s-5m-10f-Dy-RX100%-1hr.csc.log
1	25.000	0.981
2	65.217	0.933
3	70.731	0.905
4	72.881	0.877
5	73.333	0.863
6	73.404	0.838
7	73.636	0.826
8	71.755	0.810
9	71.621	0.809
10	70.909	0.799
11	72.282	0.792
12	72.772	0.786
13	72.146	0.778
14	72.689	0.768
15	74.117	0.763
16	73.818	0.757
17	73.883	0.751
18	74.679	0.740
19	73.846	0.739
20	73.623	0.732
21	73.480	0.734
22	73.036	0.732
23	72.864	0.729
24	72.836	0.727
25	73.103	0.721
26	72.967	0.719
27	73.319	0.715
28	73.415	0.714
29	73.175	0.713
30	73.333	0.711
31	73.529	0.707
32	73.843	0.705
33	74.003	0.703
34	74.204	0.699
35	74.146	0.696
36	74.132	0.692
37	74.233	0.690
38	73.841	0.687
39	73.837	0.685
40	73.758	0.684
41	73.786	0.684
42	73.684	0.681
43	73.878	0.678
44	73.684	0.675
45	73.710	0.674
46	73.703	0.676
47	73.381	0.672
48	73.591	0.672
49	73.617	0.670
50	73.672	0.667
51	73.672	0.667
52	73.969	0.666
53	74.014	0.667
54	73.981	0.665
55	73.948	0.664
56	73.838	0.664
57	74.063	0.661
58	74.001	0.660
59	73.950	0.658
60	73.990	0.656
