#time(min)   pdr
1 0.00
2 73.68
3 66.66
4 87.50
5 72.22
6 87.50
7 80.00
8 77.77
9 68.42
10 100.00
11 70.00
12 76.47
13 93.75
14 78.94
15 61.11
16 76.47
17 100.00
18 39.13
19 100.00
20 75.00
21 47.36
22 106.66
23 52.38
24 106.25
25 78.94
26 105.55
27 50.00
28 128.57
29 54.54
30 87.50
31 72.22
32 78.94
33 94.11
34 60.00
35 81.25
36 77.77
37 61.11
38 94.44
39 52.38
40 80.00
41 106.25
42 70.00
43 45.00
44 114.28
45 70.00
46 55.55
47 105.88
48 45.45
49 80.00
50 88.88
51 94.73
52 42.10
53 121.42
54 45.45
55 81.25
56 68.42
57 82.35
58 63.15
59 84.21
60 81.25
