#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-20m-20f-A-RX100%-1hr.csc.log	1s-20m-20f-A-RX100%-1hr.csc.log
1	80.000	0.988
2	52.083	0.930
3	51.111	0.910
4	56.521	0.890
5	57.777	0.876
6	59.292	0.861
7	61.904	0.850
8	63.375	0.844
9	64.145	0.836
10	65.250	0.829
11	66.441	0.824
12	67.617	0.816
13	67.735	0.811
14	68.181	0.807
15	68.387	0.800
16	68.476	0.796
17	68.776	0.790
18	69.015	0.788
19	68.922	0.786
20	69.166	0.784
21	69.457	0.782
22	69.189	0.778
23	69.309	0.774
24	69.192	0.774
25	69.056	0.774
26	69.202	0.776
27	69.130	0.775
28	68.991	0.773
29	68.795	0.770
30	68.906	0.770
31	69.033	0.770
32	68.983	0.769
33	69.143	0.769
34	69.272	0.769
35	69.333	0.770
36	69.404	0.770
37	69.269	0.768
38	69.509	0.769
39	69.409	0.766
40	69.476	0.766
41	69.648	0.765
42	69.651	0.765
43	69.605	0.764
44	69.514	0.764
45	69.484	0.765
46	69.646	0.764
47	69.526	0.762
48	69.743	0.762
49	69.579	0.760
50	69.814	0.760
51	70.177	0.758
52	70.222	0.757
53	70.388	0.757
54	70.376	0.756
55	70.462	0.756
56	70.527	0.756
57	70.373	0.756
58	70.382	0.755
59	70.434	0.754
60	70.500	0.753
