#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-20m-20f-A-RX100%-1hr.csc.log	1s-20m-20f-A-RX100%-1hr.csc.log
1	58.823	0.961
2	53.623	0.910
3	53.448	0.894
4	59.659	0.869
5	62.719	0.853
6	63.957	0.836
7	64.583	0.825
8	66.153	0.816
9	67.037	0.809
10	68.400	0.804
11	69.964	0.799
12	70.473	0.791
13	71.148	0.785
14	70.949	0.781
15	71.206	0.776
16	71.654	0.770
17	71.282	0.767
18	71.827	0.765
19	71.951	0.761
20	72.500	0.757
21	72.901	0.753
22	72.782	0.752
23	72.840	0.749
24	72.929	0.746
25	72.900	0.743
26	72.633	0.741
27	72.727	0.739
28	72.233	0.737
29	72.309	0.736
30	72.405	0.736
31	72.439	0.736
32	72.818	0.736
33	72.737	0.736
34	72.367	0.736
35	72.486	0.736
36	72.560	0.734
37	72.392	0.733
38	72.420	0.731
39	72.353	0.729
40	72.500	0.729
41	72.580	0.728
42	72.755	0.726
43	72.671	0.724
44	72.509	0.723
45	72.681	0.721
46	72.656	0.721
47	72.647	0.720
48	72.766	0.720
49	72.755	0.719
50	72.819	0.719
51	73.109	0.718
52	73.203	0.718
53	73.175	0.717
54	72.992	0.718
55	72.891	0.717
56	72.821	0.716
57	72.622	0.715
58	72.633	0.715
59	72.513	0.715
60	72.531	0.715
