#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log
1	0.000	0.993
2	20.833	0.957
3	23.741	0.937
4	27.093	0.924
5	30.000	0.910
6	33.333	0.897
7	34.673	0.887
8	35.881	0.876
9	37.406	0.870
10	37.833	0.864
11	39.221	0.860
12	40.437	0.856
13	40.903	0.851
14	41.531	0.848
15	41.720	0.845
16	42.184	0.841
17	42.749	0.836
18	42.983	0.833
19	43.419	0.830
20	43.571	0.828
21	43.966	0.826
22	44.149	0.824
23	44.292	0.822
24	44.553	0.818
25	44.654	0.816
26	44.759	0.813
27	45.052	0.813
28	44.991	0.812
29	45.013	0.810
30	45.156	0.808
31	45.344	0.807
32	45.326	0.805
33	45.351	0.804
34	45.421	0.802
35	45.422	0.801
36	45.383	0.799
37	45.538	0.798
38	45.502	0.797
39	45.375	0.795
40	45.465	0.795
41	45.451	0.795
42	45.471	0.794
43	45.667	0.794
44	45.486	0.792
45	45.532	0.792
46	45.595	0.791
47	45.517	0.790
48	45.451	0.789
49	45.445	0.788
50	45.401	0.787
51	45.473	0.786
52	45.489	0.786
53	45.475	0.784
54	45.462	0.783
55	45.462	0.783
56	45.407	0.782
57	45.513	0.782
58	45.476	0.782
59	45.452	0.781
60	45.487	0.780
