#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log
1	0.000	0.993
2	20.833	0.957
3	23.741	0.937
4	27.093	0.924
5	30.000	0.910
6	33.333	0.898
7	34.673	0.888
8	35.881	0.877
9	37.664	0.871
10	38.166	0.866
11	39.430	0.862
12	40.217	0.856
13	41.509	0.851
14	41.522	0.846
15	42.043	0.841
16	42.369	0.840
17	42.803	0.836
18	43.262	0.833
19	43.729	0.831
20	44.047	0.828
21	44.319	0.825
22	44.612	0.823
23	44.818	0.822
24	44.934	0.820
25	45.031	0.818
26	45.021	0.816
27	45.121	0.814
28	45.027	0.814
29	45.199	0.812
30	45.364	0.811
31	45.417	0.809
32	45.490	0.809
33	45.488	0.807
34	45.471	0.805
35	45.511	0.803
36	45.548	0.802
37	45.431	0.802
38	45.547	0.800
39	45.584	0.799
40	45.620	0.797
41	45.564	0.796
42	45.528	0.796
43	45.624	0.794
44	45.620	0.793
45	45.670	0.792
46	45.649	0.791
47	45.675	0.790
48	45.661	0.788
49	45.749	0.787
50	45.771	0.787
51	45.839	0.785
52	45.791	0.784
53	45.769	0.784
54	45.763	0.783
55	45.770	0.783
56	45.739	0.782
57	45.798	0.781
58	45.755	0.781
59	45.736	0.780
60	45.743	0.780
