#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log
1	0.000	0.993
2	20.833	0.957
3	23.741	0.937
4	27.093	0.924
5	30.000	0.910
6	33.333	0.897
7	34.673	0.887
8	35.805	0.876
9	37.523	0.870
10	38.000	0.863
11	39.461	0.859
12	40.791	0.855
13	41.000	0.850
14	41.599	0.846
15	42.150	0.841
16	42.469	0.838
17	42.803	0.834
18	43.059	0.831
19	43.587	0.828
20	43.730	0.825
21	44.452	0.822
22	44.683	0.819
23	44.855	0.817
24	45.013	0.815
25	45.220	0.812
26	45.350	0.811
27	45.459	0.809
28	45.515	0.807
29	45.420	0.805
30	45.416	0.803
31	45.472	0.802
32	45.494	0.802
33	45.566	0.801
34	45.671	0.799
35	45.644	0.798
36	45.701	0.797
37	45.683	0.795
38	45.867	0.794
39	45.780	0.792
40	45.775	0.791
41	45.787	0.790
42	45.873	0.789
43	45.899	0.789
44	45.905	0.787
45	45.979	0.787
46	45.983	0.786
47	46.001	0.786
48	45.960	0.785
49	45.923	0.784
50	45.956	0.784
51	45.891	0.783
52	46.010	0.783
53	45.975	0.781
54	46.030	0.781
55	45.938	0.782
56	45.931	0.781
57	45.948	0.781
58	45.915	0.780
59	45.883	0.779
60	45.974	0.778
