#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-A-RX100%-1hr.csc.log	1s-5m-10f-A-RX100%-1hr.csc.log
1	0	0
2	60.000	0.953
3	73.333	0.921
4	73.333	0.902
5	73.333	0.883
6	76.000	0.874
7	77.777	0.866
8	78.095	0.857
9	78.333	0.851
10	77.037	0.845
11	77.333	0.841
12	78.181	0.837
13	78.333	0.835
14	77.435	0.832
15	77.619	0.831
16	77.333	0.827
17	76.666	0.826
18	76.078	0.824
19	76.296	0.823
20	76.491	0.820
21	76.333	0.816
22	76.507	0.815
23	76.060	0.814
24	75.652	0.814
25	75.277	0.814
26	74.933	0.813
27	74.615	0.812
28	74.320	0.812
29	74.523	0.810
30	74.712	0.809
31	74.666	0.808
32	74.408	0.807
33	74.166	0.807
34	74.343	0.806
35	74.313	0.806
36	74.476	0.804
37	74.259	0.803
38	74.414	0.803
39	74.385	0.801
40	74.529	0.800
41	74.333	0.799
42	74.308	0.799
43	74.126	0.799
44	74.108	0.797
45	73.939	0.797
46	73.925	0.797
47	73.913	0.796
48	73.758	0.794
49	73.750	0.793
50	73.741	0.794
51	73.733	0.793
52	73.986	0.793
53	74.102	0.792
54	74.088	0.792
55	74.197	0.792
56	74.181	0.791
57	74.404	0.790
58	74.502	0.789
59	74.367	0.789
60	74.576	0.788
