#time(min)   pdr
1 0.00
2 86.66
3 73.33
4 73.33
5 73.33
6 73.33
7 73.33
8 73.33
9 66.66
10 73.33
11 73.33
12 73.33
13 73.33
14 86.66
15 73.33
16 86.66
17 73.33
18 80.00
19 73.33
20 73.33
21 80.00
22 73.33
23 73.33
24 80.00
25 73.33
26 80.00
27 73.33
28 66.66
29 66.66
30 80.00
31 86.66
32 73.33
33 80.00
34 73.33
35 73.33
36 66.66
37 66.66
38 73.33
39 73.33
40 73.33
41 66.66
42 66.66
43 73.33
44 93.33
45 73.33
46 66.66
47 73.33
48 73.33
49 80.00
50 86.66
51 80.00
52 73.33
53 80.00
54 66.66
55 80.00
56 66.66
57 66.66
58 66.66
59 80.00
60 73.33
