#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-Dy-RX100%-1hr.csc.log	1s-5m-10f-Dy-RX100%-1hr.csc.log
1	0	0
2	60.000	0.953
3	73.333	0.921
4	73.333	0.901
5	73.333	0.886
6	73.333	0.868
7	73.333	0.852
8	73.333	0.843
9	73.333	0.836
10	72.592	0.829
11	72.666	0.821
12	72.727	0.815
13	72.777	0.808
14	72.820	0.803
15	73.809	0.797
16	73.777	0.794
17	74.583	0.786
18	74.509	0.783
19	74.814	0.775
20	74.736	0.769
21	74.666	0.764
22	74.920	0.761
23	74.848	0.755
24	74.782	0.754
25	75.000	0.750
26	74.933	0.747
27	75.128	0.742
28	75.061	0.739
29	74.761	0.736
30	74.712	0.737
31	74.666	0.734
32	75.053	0.731
33	75.208	0.727
34	75.151	0.725
35	75.098	0.721
36	75.047	0.719
37	74.814	0.717
38	74.594	0.715
39	74.561	0.713
40	74.529	0.715
41	74.500	0.713
42	74.308	0.714
43	74.126	0.711
44	74.108	0.711
45	74.545	0.708
46	74.518	0.706
47	74.347	0.704
48	74.326	0.704
49	74.305	0.705
50	74.421	0.704
51	74.666	0.704
52	74.771	0.702
53	74.743	0.700
54	74.842	0.699
55	74.691	0.696
56	74.787	0.693
57	74.642	0.692
58	74.502	0.692
59	74.367	0.690
60	74.463	0.689
