1	0
2	80.00
3	50.00
4	40.00
5	45.00
6	48.00
7	46.66
8	45.71
9	40.00
10	40.00
11	42.00
12	41.81
13	38.33
14	38.46
15	37.14
16	36.00
17	33.75
18	34.11
19	34.44
20	33.68
21	34.00
22	32.38
23	30.90
24	29.56
25	28.33
26	27.20
27	26.15
28	26.66
29	27.14
30	26.89
31	26.00
32	25.16
33	25.62
34	25.45
35	25.88
36	25.14
37	25.55
38	25.40
39	25.78
40	25.12
41	25.00
42	24.39
43	24.28
44	23.72
45	23.63
46	23.55
47	23.47
48	22.97
49	22.91
50	22.85
51	23.60
52	23.92
53	23.84
54	24.15
55	24.07
56	24.72
57	25.00
58	24.56
59	25.17
60	25.42
