#Node	Received	Sent	PDR(%)
43	73	72	101.38
39	72	72	100.00
34	66	72	91.66
24	4	90	4.44
8	0	91	0.00
48	63	73	86.30
60	68	72	94.44
50	69	72	95.83
55	70	72	97.22
28	6	91	6.59
11	1	90	1.11
35	74	72	102.77
54	71	72	98.61
44	73	72	101.38
45	73	72	101.38
31	2	90	2.22
2	2	91	2.19
30	3	90	3.33
6	1	91	1.09
18	2	90	2.22
4	2	91	2.19
33	72	72	100.00
27	2	90	2.22
41	73	72	101.38
47	69	72	95.83
53	74	72	102.77
40	72	73	98.63
7	5	90	5.55
61	73	73	100.00
15	0	90	0.00
25	4	91	4.39
20	5	90	5.55
16	3	90	3.33
37	69	72	95.83
58	73	72	101.38
14	2	91	2.19
46	65	72	90.27
52	68	73	93.15
10	0	91	0.00
12	2	90	2.22
29	2	91	2.19
49	68	73	93.15
22	4	90	4.44
51	73	72	101.38
26	1	90	1.11
56	73	72	101.38
9	4	90	4.44
5	6	90	6.66
42	67	72	93.05
19	7	91	7.69
38	70	72	97.22
17	0	91	0.00
36	73	72	101.38
13	3	90	3.33
3	6	90	6.66
59	68	72	94.44
23	3	90	3.33
21	3	90	3.33
57	61	72	84.72
32	69	72	95.83
