#Node	Received	Sent	PDR(%)
43	72	72	100.00
39	73	72	101.38
34	66	72	91.66
24	2	91	2.19
8	0	91	0.00
48	62	73	84.93
60	72	72	100.00
50	71	72	98.61
55	72	72	100.00
28	6	90	6.66
11	1	91	1.09
35	73	72	101.38
54	72	72	100.00
44	74	73	101.36
45	72	72	100.00
31	1	90	1.11
2	2	91	2.19
30	1	90	1.11
6	3	90	3.33
18	2	91	2.19
4	2	91	2.19
33	70	72	97.22
27	2	91	2.19
41	73	72	101.38
47	71	72	98.61
53	73	72	101.38
40	73	72	101.38
7	6	90	6.66
61	73	72	101.38
15	3	91	3.29
25	3	91	3.29
20	2	90	2.22
16	2	91	2.19
37	73	72	101.38
58	73	72	101.38
14	2	90	2.22
46	69	72	95.83
52	69	72	95.83
10	0	90	0.00
12	2	90	2.22
29	2	91	2.19
49	68	72	94.44
22	2	90	2.22
51	72	73	98.63
26	0	91	0.00
56	73	73	100.00
9	6	90	6.66
5	2	91	2.19
42	69	72	95.83
19	2	91	2.19
38	69	72	95.83
17	6	91	6.59
36	74	73	101.36
13	2	90	2.22
3	0	91	0.00
59	71	72	98.61
23	3	90	3.33
21	2	91	2.19
57	0	72	0.00
32	68	72	94.44
