#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log
1	10.000	0.990
2	22.727	0.951
3	22.818	0.933
4	26.200	0.917
5	29.666	0.905
6	33.066	0.895
7	35.320	0.886
8	37.500	0.880
9	38.945	0.874
10	39.090	0.869
11	40.710	0.865
12	41.460	0.860
13	42.237	0.856
14	43.308	0.851
15	44.313	0.849
16	44.981	0.844
17	45.047	0.840
18	45.813	0.835
19	46.112	0.830
20	46.521	0.827
21	46.961	0.826
22	47.109	0.823
23	47.338	0.819
24	47.601	0.818
25	47.701	0.816
26	48.064	0.814
27	48.057	0.813
28	48.112	0.811
29	48.128	0.809
30	48.428	0.807
31	48.664	0.805
32	48.663	0.804
33	48.722	0.803
34	48.658	0.801
35	48.780	0.800
36	48.796	0.798
37	48.887	0.796
38	48.745	0.796
39	48.872	0.794
40	49.007	0.794
41	48.927	0.792
42	48.885	0.792
43	48.829	0.791
44	48.874	0.790
45	48.899	0.789
46	48.892	0.788
47	49.098	0.787
48	49.102	0.785
49	49.119	0.784
50	49.180	0.784
51	49.266	0.783
52	49.280	0.782
53	49.280	0.782
54	49.308	0.780
55	49.358	0.779
56	49.358	0.779
57	49.430	0.778
58	49.428	0.778
59	49.415	0.777
60	49.483	0.776
