#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log
1	8.333	0.986
2	23.170	0.948
3	25.949	0.924
4	29.385	0.908
5	32.333	0.892
6	34.959	0.880
7	38.409	0.869
8	40.267	0.857
9	42.105	0.851
10	43.787	0.845
11	45.380	0.844
12	46.201	0.840
13	46.277	0.835
14	46.898	0.832
15	47.450	0.828
16	47.802	0.823
17	47.721	0.818
18	48.460	0.813
19	48.776	0.810
20	48.768	0.809
21	49.210	0.807
22	49.540	0.804
23	49.436	0.801
24	49.790	0.799
25	49.770	0.798
26	50.220	0.797
27	50.238	0.795
28	50.306	0.793
29	50.369	0.791
30	50.285	0.790
31	50.322	0.790
32	50.466	0.789
33	50.431	0.787
34	50.335	0.787
35	50.365	0.785
36	50.335	0.784
37	50.538	0.782
38	50.542	0.779
39	50.600	0.778
40	50.567	0.776
41	50.656	0.775
42	50.608	0.774
43	50.675	0.774
44	50.674	0.773
45	50.597	0.772
46	50.644	0.770
47	50.603	0.770
48	50.588	0.768
49	50.576	0.768
50	50.593	0.769
51	50.553	0.769
52	50.637	0.768
53	50.625	0.767
54	50.600	0.766
55	50.589	0.766
56	50.629	0.765
57	50.642	0.764
58	50.716	0.763
59	50.657	0.762
60	50.657	0.762
