#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log
1	10.000	0.990
2	22.727	0.951
3	22.818	0.933
4	26.315	0.917
5	29.000	0.905
6	32.258	0.894
7	34.157	0.886
8	37.281	0.878
9	38.095	0.869
10	38.787	0.865
11	40.408	0.862
12	41.490	0.857
13	42.873	0.850
14	43.697	0.845
15	44.215	0.840
16	44.688	0.837
17	45.150	0.833
18	45.652	0.830
19	46.224	0.826
20	46.231	0.823
21	46.602	0.820
22	46.784	0.819
23	46.808	0.816
24	46.970	0.814
25	47.241	0.812
26	47.348	0.810
27	47.692	0.808
28	47.677	0.805
29	47.731	0.803
30	48.000	0.801
31	47.954	0.800
32	48.049	0.799
33	48.101	0.799
34	48.281	0.797
35	48.211	0.796
36	48.245	0.794
37	48.294	0.792
38	48.355	0.791
39	48.488	0.789
40	48.475	0.788
41	48.443	0.787
42	48.684	0.785
43	48.699	0.784
44	48.599	0.782
45	48.710	0.780
46	48.771	0.779
47	48.721	0.778
48	48.808	0.777
49	48.904	0.776
50	48.898	0.776
51	48.932	0.775
52	48.884	0.776
53	48.840	0.774
54	48.930	0.773
55	48.974	0.772
56	49.006	0.770
57	49.012	0.771
58	49.052	0.771
59	48.997	0.771
60	49.084	0.769
