1	200.00
2	90.00
3	66.66
4	64.00
5	52.94
6	50.00
7	44.68
8	43.63
9	45.16
10	44.28
11	40.50
12	42.35
13	41.93
14	42.00
15	44.33
16	45.21
17	45.16
18	46.15
19	46.37
20	46.89
21	44.80
22	45.00
23	44.31
24	42.85
25	43.64
26	42.63
27	41.62
28	40.97
29	39.53
30	40.00
31	40.26
32	39.14
33	40.08
34	40.40
35	39.76
36	40.75
37	40.80
38	41.42
39	41.37
40	42.03
41	41.91
42	41.29
43	41.45
44	41.53
45	41.44
46	40.58
47	39.65
48	38.87
49	37.91
50	37.29
51	36.60
52	35.84
53	35.20
54	34.50
55	34.22
56	34.45
57	34.59
58	34.41
59	34.86
60	35.28
61	35.24
62	34.78
63	34.26
64	34.46
65	34.44
66	34.43
67	33.94
68	33.80
69	33.59
70	33.20
