#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-A-RX100%-1hr.csc.log	1s-5m-15f-A-RX100%-1hr.csc.log
1	0.000	0.996
2	37.500	0.980
3	46.153	0.977
4	40.000	0.968
5	32.000	0.966
6	29.032	0.963
7	23.684	0.960
8	22.222	0.958
9	20.000	0.957
10	18.181	0.956
11	23.437	0.952
12	21.917	0.949
13	25.316	0.950
14	23.595	0.948
15	25.263	0.948
16	30.476	0.945
17	33.035	0.944
18	33.333	0.944
19	34.959	0.944
20	36.153	0.944
21	37.500	0.944
22	37.500	0.943
23	35.761	0.943
24	36.250	0.942
25	37.426	0.940
26	37.288	0.940
27	37.634	0.939
28	37.113	0.939
29	36.180	0.939
30	35.121	0.939
31	36.448	0.939
32	36.936	0.938
33	36.956	0.938
34	36.286	0.938
35	36.326	0.937
36	36.904	0.936
37	37.692	0.935
38	38.059	0.935
39	38.686	0.934
40	38.571	0.934
41	38.888	0.934
42	39.189	0.934
43	39.273	0.934
44	38.906	0.933
45	38.750	0.933
46	39.024	0.932
47	38.805	0.932
48	38.192	0.931
49	37.931	0.931
50	37.746	0.931
51	37.465	0.931
52	37.228	0.931
53	36.870	0.930
54	36.458	0.930
55	36.734	0.931
56	36.881	0.929
57	37.163	0.930
58	37.410	0.929
59	37.647	0.929
60	37.674	0.929
