#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-De-RX100%-1hr.csc.log	1s-5m-15f-De-RX100%-1hr.csc.log
1	0.000	0.996
2	37.500	0.978
3	46.153	0.972
4	36.842	0.964
5	32.000	0.957
6	27.272	0.948
7	24.324	0.946
8	20.930	0.942
9	18.750	0.941
10	23.636	0.939
11	23.809	0.937
12	26.027	0.933
13	25.641	0.934
14	24.137	0.930
15	25.531	0.929
16	27.000	0.928
17	29.629	0.925
18	31.092	0.920
19	31.147	0.920
20	32.307	0.918
21	33.576	0.917
22	34.027	0.916
23	32.894	0.914
24	34.782	0.913
25	34.337	0.912
26	35.227	0.908
27	35.828	0.904
28	35.416	0.904
29	34.673	0.904
30	33.658	0.903
31	33.802	0.901
32	33.640	0.902
33	33.480	0.900
34	32.905	0.899
35	33.196	0.896
36	33.596	0.894
37	33.463	0.894
38	33.834	0.892
39	33.941	0.891
40	33.928	0.890
41	34.035	0.889
42	34.246	0.887
43	34.219	0.886
44	34.405	0.883
45	33.962	0.882
46	34.451	0.880
47	34.131	0.879
48	34.310	0.879
49	34.383	0.877
50	33.802	0.877
51	33.791	0.875
52	33.783	0.874
53	34.036	0.873
54	34.020	0.872
55	33.756	0.871
56	33.995	0.870
57	34.063	0.868
58	33.894	0.868
59	33.962	0.867
60	34.186	0.867
