#Node	Received	Sent	PDR(%)
39	61	60	101.66
34	57	60	95.00
24	1	91	1.09
8	1	90	1.11
48	57	60	95.00
60	58	60	96.66
50	59	60	98.33
55	60	60	100.00
28	3	90	3.33
11	1	90	1.11
35	61	60	101.66
54	61	60	101.66
44	61	60	101.66
45	60	60	100.00
31	2	90	2.22
30	3	91	3.29
2	4	91	4.39
6	4	91	4.39
18	2	90	2.22
4	3	91	3.29
33	59	60	98.33
27	0	90	0.00
41	61	60	101.66
47	59	60	98.33
53	59	60	98.33
40	58	60	96.66
7	9	91	9.89
61	59	60	98.33
15	1	90	1.11
46	50	60	83.33
25	3	91	3.29
20	2	91	2.19
16	4	91	4.39
37	60	60	100.00
58	61	60	101.66
14	2	91	2.19
52	58	60	96.66
10	0	90	0.00
12	1	91	1.09
29	8	91	8.79
49	58	60	96.66
22	5	91	5.49
51	60	60	100.00
43	61	60	101.66
26	3	90	3.33
56	60	60	100.00
9	1	91	1.09
5	3	91	3.29
19	7	90	7.77
42	58	60	96.66
38	59	60	98.33
17	2	90	2.22
36	59	60	98.33
13	3	91	3.29
59	55	60	91.66
3	3	90	3.33
21	2	91	2.19
23	6	91	6.59
57	49	60	81.66
32	53	60	88.33
