#Node	Received	Sent	PDR(%)
39	60	60	100.00
34	59	60	98.33
24	3	91	3.29
8	3	90	3.33
48	58	60	96.66
60	56	60	93.33
50	60	60	100.00
55	60	60	100.00
28	7	90	7.77
11	4	90	4.44
35	61	60	101.66
54	61	60	101.66
44	61	60	101.66
45	60	60	100.00
31	1	91	1.09
30	2	90	2.22
2	5	91	5.49
6	2	91	2.19
18	1	91	1.09
4	1	91	1.09
33	60	60	100.00
27	4	91	4.39
41	61	60	101.66
47	60	60	100.00
53	61	60	101.66
40	59	60	98.33
7	10	90	11.11
61	60	60	100.00
15	4	91	4.39
46	55	60	91.66
25	0	91	0.00
20	2	91	2.19
16	0	91	0.00
37	60	60	100.00
58	61	60	101.66
14	4	91	4.39
52	59	60	98.33
10	0	90	0.00
12	3	90	3.33
29	3	90	3.33
49	58	60	96.66
22	3	91	3.29
51	60	60	100.00
43	61	60	101.66
26	5	90	5.55
56	61	60	101.66
9	0	91	0.00
5	7	91	7.69
19	0	90	0.00
42	58	60	96.66
38	58	60	96.66
17	1	91	1.09
36	61	60	101.66
13	0	91	0.00
59	55	60	91.66
3	6	90	6.66
21	1	91	1.09
23	1	91	1.09
57	50	60	83.33
32	55	60	91.66
