#Node	Received	Sent	PDR(%)
39	61	60	101.66
34	59	60	98.33
24	3	91	3.29
8	3	90	3.33
48	58	60	96.66
60	57	60	95.00
50	60	60	100.00
55	59	60	98.33
28	8	90	8.88
11	2	91	2.19
35	61	60	101.66
54	61	60	101.66
44	60	60	100.00
45	60	60	100.00
31	2	90	2.22
30	1	91	1.09
2	4	90	4.44
6	1	90	1.11
18	1	91	1.09
4	2	90	2.22
33	60	60	100.00
27	2	91	2.19
41	61	60	101.66
47	60	60	100.00
53	61	60	101.66
40	58	60	96.66
7	6	91	6.59
61	60	60	100.00
15	3	90	3.33
46	51	60	85.00
25	5	90	5.55
20	9	90	10.00
16	0	90	0.00
37	59	60	98.33
58	61	60	101.66
14	3	90	3.33
52	58	60	96.66
10	0	90	0.00
12	0	90	0.00
29	1	90	1.11
49	57	60	95.00
22	0	91	0.00
51	60	60	100.00
43	61	60	101.66
26	12	91	13.18
56	61	60	101.66
9	1	91	1.09
5	4	90	4.44
19	0	90	0.00
42	59	60	98.33
38	60	60	100.00
17	1	90	1.11
36	61	60	101.66
13	5	90	5.55
59	58	60	96.66
3	2	90	2.22
21	5	91	5.49
23	5	90	5.55
57	51	60	85.00
32	53	60	88.33
