#time(min)   pdr
1 0.00
2 72.22
3 81.25
4 73.68
5 64.70
6 61.11
7 61.11
8 82.35
9 52.63
10 68.75
11 100.00
12 73.68
13 63.15
14 75.00
15 64.70
16 61.11
17 68.75
18 57.89
19 70.58
20 72.22
21 55.55
22 58.82
23 81.25
24 63.15
25 70.58
26 61.11
27 66.66
28 64.70
29 61.11
30 64.70
31 58.82
32 55.55
33 61.11
34 82.35
35 66.66
36 58.82
37 52.63
38 75.00
39 58.82
40 50.00
41 68.75
42 52.63
43 52.63
44 68.75
45 64.70
46 66.66
47 70.58
48 61.11
49 55.55
50 64.70
51 66.66
52 55.00
53 61.11
54 58.82
55 72.22
56 70.58
57 66.66
58 64.70
59 63.15
60 81.25
