#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-A-RX100%-1hr.csc.log	1s-5m-10f-A-RX100%-1hr.csc.log
1	0.000	0.989
2	45.000	0.934
3	61.111	0.904
4	65.454	0.875
5	68.055	0.859
6	66.666	0.851
7	65.740	0.844
8	65.600	0.840
9	66.666	0.834
10	66.250	0.830
11	66.477	0.827
12	68.205	0.822
13	68.691	0.819
14	69.565	0.814
15	69.230	0.811
16	68.679	0.808
17	68.683	0.806
18	68.000	0.803
19	67.823	0.802
20	67.761	0.800
21	67.988	0.799
22	67.567	0.796
23	67.357	0.798
24	67.407	0.797
25	67.535	0.797
26	67.500	0.794
27	67.248	0.792
28	67.368	0.790
29	67.139	0.790
30	67.058	0.789
31	66.982	0.788
32	66.605	0.788
33	66.252	0.788
34	66.206	0.788
35	66.555	0.786
36	66.666	0.786
37	66.246	0.785
38	66.153	0.784
39	66.266	0.783
40	65.985	0.782
41	65.905	0.781
42	65.555	0.782
43	65.223	0.781
44	65.165	0.783
45	65.155	0.785
46	65.063	0.784
47	65.179	0.784
48	65.212	0.783
49	65.124	0.782
50	65.000	0.782
51	65.142	0.781
52	64.804	0.779
53	64.731	0.778
54	64.731	0.778
55	64.556	0.778
56	64.766	0.778
57	64.801	0.777
58	64.900	0.776
59	64.769	0.774
60	64.927	0.773
