#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-De-RX100%-1hr.csc.log	1s-5m-15f-De-RX100%-1hr.csc.log
1	0.000	0.992
2	30.000	0.972
3	33.333	0.962
4	32.000	0.953
5	23.529	0.943
6	22.500	0.938
7	23.404	0.932
8	21.818	0.928
9	19.354	0.926
10	18.571	0.924
11	20.987	0.918
12	24.175	0.913
13	23.232	0.915
14	23.148	0.912
15	25.641	0.910
16	24.800	0.910
17	25.563	0.908
18	26.896	0.905
19	27.272	0.902
20	28.125	0.901
21	28.742	0.901
22	29.608	0.899
23	28.342	0.897
24	27.319	0.896
25	26.237	0.896
26	26.415	0.893
27	26.905	0.890
28	26.293	0.888
29	26.446	0.887
30	25.600	0.886
31	24.904	0.883
32	25.278	0.882
33	25.724	0.882
34	25.951	0.880
35	26.755	0.878
36	26.885	0.878
37	27.619	0.876
38	28.395	0.874
39	28.915	0.873
40	29.117	0.872
41	29.597	0.871
42	30.083	0.869
43	29.891	0.867
44	29.708	0.864
45	29.090	0.862
46	29.441	0.862
47	29.702	0.862
48	29.951	0.861
49	29.481	0.859
50	29.069	0.858
51	28.701	0.857
52	28.794	0.856
53	29.166	0.856
54	29.122	0.855
55	28.810	0.853
56	28.806	0.852
57	28.772	0.850
58	28.968	0.851
59	28.988	0.850
60	29.230	0.850
