#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-A-RX100%-1hr.csc.log	1s-5m-15f-A-RX100%-1hr.csc.log
1	0.000	0.992
2	40.000	0.977
3	47.058	0.969
4	36.000	0.960
5	34.375	0.958
6	30.000	0.954
7	29.787	0.951
8	27.272	0.949
9	23.809	0.947
10	21.428	0.948
11	25.301	0.944
12	24.719	0.944
13	27.450	0.942
14	27.522	0.941
15	31.092	0.940
16	32.031	0.939
17	33.333	0.937
18	33.793	0.938
19	33.333	0.937
20	34.375	0.936
21	35.294	0.936
22	34.463	0.935
23	33.513	0.935
24	33.163	0.933
25	33.495	0.932
26	33.333	0.932
27	34.649	0.931
28	33.760	0.930
29	32.921	0.930
30	32.000	0.930
31	32.170	0.930
32	32.592	0.931
33	32.616	0.930
34	32.055	0.930
35	32.094	0.929
36	32.026	0.929
37	32.911	0.928
38	32.716	0.928
39	33.232	0.928
40	33.235	0.927
41	33.333	0.926
42	33.893	0.927
43	34.239	0.926
44	33.952	0.925
45	33.333	0.925
46	33.417	0.924
47	33.168	0.923
48	33.252	0.923
49	33.175	0.922
50	32.558	0.921
51	32.199	0.921
52	32.666	0.921
53	32.104	0.920
54	31.974	0.920
55	32.000	0.920
56	32.032	0.919
57	32.056	0.918
58	31.944	0.918
59	31.968	0.918
60	31.730	0.918
