#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log
1	23.529	0.968
2	16.666	0.934
3	24.056	0.910
4	27.666	0.897
5	30.434	0.884
6	33.750	0.872
7	36.140	0.864
8	37.878	0.856
9	39.089	0.849
10	40.119	0.840
11	41.755	0.836
12	42.745	0.831
13	43.447	0.826
14	43.750	0.823
15	44.694	0.820
16	44.927	0.816
17	45.349	0.811
18	45.705	0.808
19	45.840	0.804
20	45.977	0.801
21	46.451	0.799
22	46.562	0.796
23	46.490	0.793
24	46.523	0.791
25	46.584	0.789
26	46.578	0.788
27	46.632	0.787
28	46.666	0.785
29	46.569	0.782
30	46.704	0.780
31	46.666	0.778
32	46.631	0.778
33	46.581	0.777
34	46.700	0.776
35	46.647	0.775
36	46.729	0.772
37	46.862	0.772
38	46.755	0.771
39	46.705	0.770
40	46.807	0.769
41	46.956	0.768
42	46.854	0.766
43	46.824	0.765
44	46.846	0.765
45	46.820	0.766
46	46.838	0.765
47	46.793	0.765
48	46.807	0.764
49	46.852	0.763
50	46.891	0.764
51	46.821	0.763
52	46.969	0.762
53	46.910	0.762
54	46.958	0.762
55	46.949	0.762
56	46.967	0.761
57	46.979	0.760
58	46.957	0.759
59	46.870	0.758
60	46.891	0.757
