#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-De-RX100%-1hr.csc.log
1	23.529	0.968
2	18.333	0.934
3	24.186	0.911
4	27.666	0.896
5	31.989	0.880
6	34.166	0.871
7	35.689	0.862
8	38.030	0.852
9	38.851	0.844
10	39.642	0.840
11	40.752	0.838
12	41.372	0.832
13	42.072	0.826
14	42.583	0.821
15	43.090	0.818
16	43.260	0.815
17	43.460	0.812
18	44.038	0.809
19	44.276	0.805
20	44.482	0.802
21	44.906	0.800
22	44.843	0.797
23	44.980	0.794
24	44.952	0.792
25	45.063	0.791
26	45.219	0.789
27	45.366	0.787
28	45.325	0.785
29	45.418	0.783
30	45.492	0.783
31	45.647	0.782
32	45.638	0.779
33	45.526	0.777
34	45.633	0.776
35	45.628	0.775
36	45.754	0.773
37	45.857	0.772
38	45.892	0.770
39	45.891	0.767
40	45.988	0.767
41	45.916	0.765
42	46.048	0.764
43	45.955	0.762
44	46.076	0.761
45	46.076	0.760
46	46.102	0.758
47	46.107	0.757
48	46.126	0.757
49	46.091	0.756
50	46.103	0.755
51	46.070	0.753
52	46.168	0.753
53	46.166	0.752
54	46.208	0.752
55	46.205	0.751
56	46.224	0.750
57	46.193	0.748
58	46.279	0.748
59	46.281	0.747
60	46.273	0.747
