#Node	Received	Sent	PDR(%)
34	55	60	91.66
39	61	60	101.66
24	1	72	1.38
8	2	72	2.77
48	54	60	90.00
60	59	60	98.33
50	58	60	96.66
28	2	72	2.77
55	59	60	98.33
11	0	72	0.00
31	7	72	9.72
35	61	60	101.66
54	61	60	101.66
44	61	60	101.66
45	58	60	96.66
30	2	73	2.73
2	1	73	1.36
6	2	72	2.77
18	0	72	0.00
4	2	72	2.77
33	59	60	98.33
27	0	72	0.00
41	61	60	101.66
47	60	60	100.00
40	60	60	100.00
7	3	72	4.16
53	61	60	101.66
61	60	60	100.00
14	4	73	5.47
25	3	72	4.16
15	5	73	6.84
20	6	72	8.33
37	58	60	96.66
46	51	60	85.00
58	61	60	101.66
16	6	72	8.33
52	59	60	98.33
10	0	72	0.00
12	3	72	4.16
49	57	60	95.00
29	5	72	6.94
22	6	72	8.33
51	61	60	101.66
43	61	60	101.66
26	6	72	8.33
56	61	60	101.66
9	5	72	6.94
5	0	73	0.00
19	7	72	9.72
42	58	60	96.66
38	56	60	93.33
17	9	72	12.50
36	61	60	101.66
13	1	72	1.38
59	58	60	96.66
3	11	72	15.27
21	0	72	0.00
23	2	72	2.77
32	58	60	96.66
57	46	60	76.66
