#Node	Received	Sent	PDR(%)
34	55	60	91.66
39	61	60	101.66
24	2	72	2.77
8	3	72	4.16
48	54	60	90.00
60	59	60	98.33
50	58	60	96.66
28	0	72	0.00
55	59	60	98.33
11	2	72	2.77
31	6	72	8.33
35	61	60	101.66
54	61	60	101.66
44	61	60	101.66
45	59	60	98.33
30	1	72	1.38
2	1	72	1.38
6	3	72	4.16
18	2	72	2.77
4	3	72	4.16
33	58	60	96.66
27	1	72	1.38
41	61	60	101.66
47	60	60	100.00
40	58	60	96.66
7	7	72	9.72
53	61	60	101.66
61	60	60	100.00
14	5	73	6.84
25	2	72	2.77
15	0	73	0.00
20	8	72	11.11
37	59	60	98.33
46	50	60	83.33
58	61	60	101.66
16	5	73	6.84
52	59	60	98.33
10	0	72	0.00
12	1	72	1.38
49	57	60	95.00
29	3	72	4.16
22	3	72	4.16
51	61	60	101.66
43	61	60	101.66
26	8	72	11.11
56	61	60	101.66
9	2	72	2.77
5	2	72	2.77
19	4	73	5.47
42	58	60	96.66
38	56	60	93.33
17	2	72	2.77
36	61	60	101.66
13	3	72	4.16
59	58	60	96.66
3	6	72	8.33
21	2	72	2.77
23	4	72	5.55
32	57	60	95.00
57	49	60	81.66
