#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-A-RX100%-1hr.csc.log	1s-5m-10f-A-RX100%-1hr.csc.log
1	25.000	0.964
2	59.259	0.919
3	69.767	0.901
4	68.571	0.867
5	71.111	0.847
6	72.972	0.835
7	74.242	0.822
8	75.657	0.817
9	75.287	0.811
10	74.871	0.803
11	75.462	0.801
12	75.847	0.795
13	76.744	0.788
14	77.142	0.780
15	77.483	0.777
16	76.947	0.777
17	77.126	0.773
18	77.134	0.773
19	77.662	0.770
20	77.283	0.767
21	77.336	0.765
22	77.060	0.762
23	77.398	0.761
24	77.142	0.761
25	77.343	0.759
26	77.067	0.758
27	77.313	0.759
28	77.312	0.756
29	77.219	0.756
30	77.560	0.757
31	77.394	0.755
32	77.507	0.754
33	77.679	0.752
34	77.539	0.752
35	77.808	0.750
36	77.792	0.749
37	77.952	0.748
38	77.777	0.746
39	77.667	0.745
40	77.696	0.746
41	77.685	0.746
42	77.304	0.745
43	77.502	0.745
44	77.422	0.744
45	77.419	0.744
46	77.368	0.744
47	77.183	0.743
48	77.272	0.742
49	76.976	0.741
50	77.004	0.741
51	77.199	0.739
52	77.108	0.737
53	77.202	0.736
54	76.964	0.736
55	77.017	0.736
56	76.982	0.735
57	77.014	0.734
58	77.140	0.733
59	77.023	0.734
60	76.947	0.733
