#time(min)   pdr
1 0.00
2 73.68
3 118.75
4 51.85
5 117.64
6 73.91
7 86.95
8 85.71
9 65.21
10 94.44
11 80.95
12 77.27
13 100.00
14 68.18
15 84.21
16 59.09
17 129.41
18 68.00
19 71.42
20 85.71
21 63.63
22 85.00
23 70.00
24 110.00
25 56.00
26 105.26
27 52.00
28 125.00
29 58.33
30 84.21
31 63.63
32 90.00
33 68.18
34 75.00
35 95.00
36 69.56
37 66.66
38 100.00
39 58.33
40 94.73
41 54.16
42 94.11
43 66.66
44 80.00
45 77.27
46 76.19
47 68.18
48 76.19
49 76.19
50 80.95
51 68.18
52 63.15
53 116.66
54 68.00
55 69.56
56 90.00
57 80.95
58 70.00
59 95.00
60 81.81
