#time(min)   pdr
1 0.00
2 73.68
3 112.50
4 55.55
5 90.00
6 80.95
7 80.95
8 80.00
9 63.63
10 85.71
11 76.19
12 95.00
13 81.81
14 81.81
15 59.09
16 84.21
17 85.00
18 86.36
19 63.63
20 90.00
21 65.21
22 80.95
23 75.00
24 76.19
25 72.72
26 80.00
27 89.47
28 81.81
29 62.50
30 94.44
31 77.27
32 90.47
33 56.52
34 105.55
35 77.27
36 72.72
37 78.94
38 76.19
39 65.21
40 94.73
41 59.09
42 85.71
43 66.66
44 84.21
45 72.72
46 80.00
47 60.86
48 82.35
49 81.81
50 82.60
51 72.72
52 81.81
53 54.54
54 78.94
55 80.00
56 75.00
57 105.26
58 58.33
59 80.00
60 90.90
