#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-Dy-RX100%-1hr.csc.log	1s-5m-10f-Dy-RX100%-1hr.csc.log
1	25.000	0.964
2	59.259	0.919
3	69.767	0.900
4	71.428	0.858
5	72.413	0.841
6	75.454	0.817
7	75.939	0.799
8	77.922	0.784
9	77.966	0.768
10	78.461	0.759
11	78.703	0.751
12	78.571	0.742
13	79.844	0.730
14	80.000	0.721
15	79.933	0.714
16	79.439	0.711
17	79.585	0.710
18	79.889	0.701
19	79.947	0.692
20	79.506	0.687
21	79.625	0.682
22	79.194	0.678
23	79.443	0.677
24	79.260	0.675
25	79.492	0.666
26	79.284	0.663
27	79.496	0.662
28	79.370	0.665
29	79.530	0.661
30	79.349	0.660
31	79.120	0.655
32	78.995	0.655
33	78.939	0.650
34	78.826	0.651
35	78.720	0.650
36	78.840	0.647
37	78.768	0.645
38	78.772	0.644
39	78.660	0.641
40	78.545	0.639
41	78.563	0.639
42	78.406	0.638
43	78.354	0.634
44	78.169	0.637
45	78.040	0.640
46	78.105	0.639
47	77.983	0.640
48	77.844	0.638
49	77.810	0.635
50	77.777	0.632
51	77.767	0.630
52	77.788	0.629
53	77.605	0.629
54	77.747	0.627
55	77.670	0.627
56	77.710	0.625
57	77.852	0.622
58	77.971	0.619
59	77.841	0.618
60	77.991	0.616
