1	200.00
2	40.00
3	21.05
4	16.00
5	12.90
6	10.00
7	8.33
8	7.27
9	6.34
10	5.71
11	5.06
12	4.70
13	4.34
14	4.00
15	3.73
16	3.47
17	3.30
18	3.07
19	3.67
20	3.44
21	3.26
22	3.12
23	2.99
24	2.85
25	2.76
26	2.63
27	2.51
28	2.43
29	2.33
30	2.27
31	2.20
32	2.12
33	2.06
34	2.00
35	1.93
36	1.88
37	1.82
38	1.78
39	1.73
40	1.69
41	1.65
42	1.61
43	1.57
44	1.53
45	1.50
46	1.47
47	1.44
48	1.40
49	1.37
50	1.35
51	1.32
52	1.29
53	1.27
54	1.25
55	1.23
56	1.20
57	1.18
58	1.16
59	1.14
60	1.12
