#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-A-RX100%-1hr.csc.log	1s-5m-15f-A-RX100%-1hr.csc.log
1	20.000	0.964
2	28.000	0.937
3	40.000	0.929
4	40.000	0.917
5	35.714	0.910
6	31.764	0.908
7	29.000	0.907
8	25.217	0.908
9	22.307	0.905
10	20.000	0.900
11	19.875	0.897
12	19.774	0.896
13	20.618	0.897
14	20.000	0.897
15	20.353	0.897
16	22.267	0.896
17	22.727	0.895
18	23.655	0.893
19	24.745	0.892
20	25.483	0.892
21	26.605	0.889
22	26.744	0.887
23	25.626	0.885
24	25.198	0.882
25	25.569	0.881
26	25.242	0.879
27	25.174	0.877
28	24.719	0.876
29	24.347	0.877
30	23.578	0.878
31	23.529	0.878
32	23.091	0.878
33	22.727	0.878
34	22.242	0.877
35	21.925	0.876
36	21.626	0.875
37	21.344	0.873
38	20.983	0.872
39	21.440	0.871
40	21.875	0.870
41	22.526	0.870
42	22.882	0.870
43	22.786	0.870
44	22.301	0.869
45	22.160	0.869
46	22.327	0.869
47	22.192	0.868
48	22.250	0.867
49	22.025	0.867
50	21.614	0.866
51	21.506	0.865
52	21.309	0.864
53	21.028	0.863
54	20.756	0.863
55	20.495	0.862
56	20.331	0.861
57	20.000	0.860
58	19.936	0.860
59	19.790	0.858
60	19.587	0.858
