#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-15f-De-RX100%-1hr.csc.log	1s-5m-15f-De-RX100%-1hr.csc.log
1	20.000	0.964
2	28.000	0.935
3	42.500	0.924
4	38.181	0.912
5	34.285	0.901
6	30.588	0.890
7	27.000	0.879
8	25.217	0.880
9	22.307	0.880
10	21.379	0.875
11	20.370	0.872
12	20.000	0.866
13	18.974	0.871
14	18.957	0.868
15	21.304	0.863
16	23.170	0.861
17	24.137	0.857
18	26.071	0.853
19	27.118	0.848
20	28.709	0.845
21	29.538	0.841
22	29.941	0.836
23	29.362	0.834
24	28.989	0.832
25	29.411	0.829
26	29.828	0.827
27	30.444	0.824
28	29.796	0.824
29	29.130	0.824
30	28.210	0.822
31	27.991	0.820
32	27.450	0.818
33	27.376	0.815
34	26.937	0.814
35	26.344	0.814
36	25.783	0.811
37	25.254	0.809
38	25.123	0.805
39	24.640	0.802
40	24.375	0.800
41	24.505	0.799
42	24.740	0.797
43	24.602	0.794
44	24.186	0.791
45	23.789	0.788
46	23.918	0.787
47	23.645	0.785
48	23.901	0.784
49	23.544	0.782
50	23.105	0.781
51	22.682	0.780
52	22.461	0.779
53	22.065	0.779
54	22.209	0.780
55	22.033	0.779
56	21.926	0.778
57	21.739	0.776
58	21.725	0.777
59	21.675	0.776
60	21.649	0.774
