#Node	Received	Sent	PDR(%)
1	0	1	0.00
2	35	121	28.92
3	9	121	7.43
4	18	121	14.87
5	29	121	23.96
6	28	121	23.14
7	29	29	100.00
8	30	30	100.00
9	29	29	100.00
10	2	30	6.66
11	29	29	100.00
12	29	29	100.00
13	29	29	100.00
14	30	30	100.00
15	0	30	0.00
16	30	30	100.00
17	29	29	100.00
18	29	29	100.00
19	29	29	100.00
20	29	29	100.00
21	30	30	100.00
22	29	29	100.00
23	29	29	100.00
24	30	30	100.00
25	29	29	100.00
26	2	30	6.66
27	29	29	100.00
28	29	29	100.00
29	29	29	100.00
30	2	30	6.66
