#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	OlymposPDR.log	OlymposPDR.log
1	80.000	0.948
2	60.000	0.935
3	40.540	0.893
4	37.288	0.871
5	35.365	0.850
6	34.951	0.825
7	33.600	0.808
8	34.013	0.791
9	31.976	0.783
10	31.413	0.781
11	30.092	0.771
12	29.361	0.767
13	29.615	0.757
14	28.315	0.751
15	27.868	0.740
16	27.554	0.734
17	26.900	0.733
18	27.520	0.726
19	28.205	0.723
20	27.980	0.725
21	28.406	0.724
22	28.351	0.721
23	28.000	0.717
24	28.056	0.720
25	27.659	0.719
26	28.360	0.716
27	28.723	0.712
28	28.449	0.710
29	28.032	0.712
30	28.050	0.715
31	27.633	0.712
32	27.703	0.710
33	27.507	0.708
34	27.260	0.708
35	27.358	0.705
36	27.391	0.702
37	27.295	0.699
38	27.137	0.698
39	26.978	0.698
40	27.027	0.698
41	26.720	0.696
42	26.815	0.697
43	26.499	0.696
44	26.624	0.695
45	26.583	0.692
46	26.449	0.691
47	26.420	0.691
48	26.484	0.690
49	26.692	0.691
50	26.610	0.692
51	26.489	0.694
52	26.636	0.692
53	26.777	0.689
54	26.660	0.690
55	26.677	0.690
56	27.098	0.688
57	27.235	0.685
58	27.345	0.686
59	27.458	0.687
60	27.498	0.687
