1	100
2	60.00
3	44.00
4	40.00
5	33.33
6	30.90
7	29.23
8	25.33
9	22.35
10	20.00
11	18.09
12	16.52
13	15.20
14	14.07
15	13.10
16	12.25
17	12.72
18	13.14
19	13.51
20	13.84
21	13.65
22	13.48
23	12.88
24	12.34
25	13.46
26	14.50
27	13.96
28	13.45
29	12.98
30	12.54
31	12.13
32	11.74
33	11.38
34	11.64
35	11.88
36	11.54
37	11.23
38	10.93
39	10.64
40	10.63
41	10.37
42	10.12
43	9.88
44	9.65
45	9.43
46	9.45
47	9.46
48	9.89
49	9.89
50	9.69
51	9.90
52	10.09
53	9.90
54	10.28
55	10.82
56	10.99
57	11.32
58	11.65
59	11.45
60	11.76
