#Node	Received	Sent	PDR(%)
43	73	72	101.38
34	64	72	88.88
39	73	72	101.38
24	3	72	4.16
8	1	72	1.38
48	68	72	94.44
60	68	73	93.15
50	72	73	98.63
55	71	73	97.26
28	10	72	13.88
11	0	72	0.00
31	0	72	0.00
35	74	72	102.77
54	74	72	102.77
44	73	73	100.00
45	71	73	97.26
30	1	72	1.38
2	3	72	4.16
6	5	73	6.84
18	0	72	0.00
4	0	72	0.00
33	72	72	100.00
27	4	72	5.55
41	74	72	102.77
53	74	72	102.77
7	5	72	6.94
47	68	73	93.15
40	71	72	98.61
61	73	72	101.38
14	1	73	1.36
15	3	72	4.16
20	1	72	1.38
37	70	72	97.22
46	62	73	84.93
25	2	72	2.77
58	73	72	101.38
16	3	72	4.16
52	71	72	98.61
10	0	73	0.00
12	3	72	4.16
49	70	72	97.22
29	5	72	6.94
51	73	72	101.38
26	1	72	1.38
56	73	72	101.38
22	1	72	1.38
9	4	72	5.55
5	4	72	5.55
42	65	72	90.27
19	3	72	4.16
38	67	72	93.05
17	2	72	2.77
36	74	72	102.77
13	4	72	5.55
59	66	72	91.66
3	2	73	2.73
21	0	72	0.00
23	6	72	8.33
57	61	72	84.72
32	68	72	94.44
