#Node	Received	Sent	PDR(%)
43	72	72	100.00
34	65	72	90.27
39	73	72	101.38
24	3	72	4.16
8	4	72	5.55
48	64	72	88.88
60	72	72	100.00
50	69	73	94.52
55	71	73	97.26
28	3	73	4.10
11	2	72	2.77
31	2	72	2.77
35	74	73	101.36
54	73	72	101.38
44	70	73	95.89
45	72	72	100.00
30	1	72	1.38
2	2	72	2.77
6	5	72	6.94
18	1	72	1.38
4	3	72	4.16
33	72	72	100.00
27	2	72	2.77
41	73	72	101.38
53	73	72	101.38
7	4	72	5.55
47	67	72	93.05
40	71	72	98.61
61	72	72	100.00
14	0	72	0.00
15	2	72	2.77
20	5	73	6.84
37	70	72	97.22
46	61	72	84.72
25	1	72	1.38
58	72	72	100.00
16	3	72	4.16
52	71	72	98.61
10	0	72	0.00
12	6	73	8.21
49	68	73	93.15
29	2	72	2.77
51	73	72	101.38
26	1	72	1.38
56	73	72	101.38
22	2	72	2.77
9	2	72	2.77
5	3	72	4.16
42	64	73	87.67
19	3	72	4.16
38	68	73	93.15
17	1	72	1.38
36	74	73	101.36
13	3	72	4.16
59	67	72	93.05
3	4	72	5.55
21	0	73	0.00
23	4	72	5.55
57	58	72	80.55
32	69	72	95.83
