#time(min)   pdr
1 0.00
2 65.00
3 118.75
4 70.83
5 85.71
6 94.73
7 68.18
8 88.88
9 61.90
10 100.00
11 75.00
12 80.00
13 66.66
14 84.21
15 71.42
16 84.21
17 80.00
18 90.00
19 59.09
20 94.44
21 94.73
22 61.90
23 94.44
24 81.81
25 94.44
26 86.36
27 71.42
28 94.73
29 76.19
30 84.21
31 80.00
32 95.00
33 68.18
34 100.00
35 63.63
36 88.88
37 85.00
38 80.00
39 80.00
40 110.00
41 50.00
42 87.50
43 100.00
44 63.63
45 105.88
46 65.21
47 75.00
48 70.00
49 89.47
50 85.71
51 94.73
52 76.19
53 76.19
54 78.94
55 89.47
56 80.95
57 71.42
58 89.47
59 76.19
60 73.68
