#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-A-RX100%-1hr.csc.log	1s-5m-10f-A-RX100%-1hr.csc.log
1	40.000	0.976
2	68.000	0.922
3	73.170	0.892
4	75.384	0.871
5	77.906	0.853
6	80.000	0.837
7	80.314	0.821
8	80.689	0.819
9	80.120	0.814
10	79.459	0.810
11	80.487	0.804
12	80.000	0.800
13	79.674	0.798
14	79.245	0.796
15	79.020	0.794
16	79.016	0.791
17	79.076	0.788
18	79.130	0.783
19	79.291	0.780
20	79.220	0.779
21	79.455	0.778
22	79.764	0.775
23	79.458	0.775
24	79.569	0.771
25	80.124	0.769
26	80.000	0.765
27	80.418	0.763
28	80.366	0.760
29	80.565	0.759
30	80.683	0.757
31	80.661	0.757
32	80.640	0.755
33	80.834	0.754
34	80.902	0.753
35	80.931	0.752
36	80.851	0.751
37	80.827	0.750
38	80.939	0.750
39	81.045	0.751
40	80.891	0.749
41	81.211	0.746
42	81.090	0.746
43	81.020	0.747
44	81.040	0.747
45	81.065	0.748
46	80.994	0.746
47	80.864	0.746
48	80.740	0.746
49	80.601	0.745
50	80.609	0.745
51	80.876	0.744
52	80.975	0.744
53	80.879	0.742
54	80.938	0.743
55	80.904	0.742
56	80.904	0.741
57	80.905	0.741
58	80.873	0.740
59	80.874	0.739
60	80.928	0.739
