#time(min)   pdr
1 0.00
2 65.00
3 118.75
4 54.16
5 117.64
6 65.21
7 90.00
8 80.00
9 75.00
10 80.00
11 76.19
12 89.47
13 80.95
14 78.94
15 89.47
16 61.90
17 117.64
18 78.26
19 94.73
20 80.95
21 59.09
22 77.77
23 94.73
24 80.95
25 75.00
26 80.00
27 75.00
28 90.00
29 56.52
30 111.76
31 56.52
32 100.00
33 59.09
34 88.88
35 85.00
36 95.00
37 50.00
38 112.50
39 63.63
40 77.77
41 100.00
42 68.18
43 94.73
44 71.42
45 88.88
46 81.81
47 71.42
48 84.21
49 76.19
50 84.21
51 90.00
52 100.00
53 60.86
54 100.00
55 63.63
56 111.11
57 40.00
58 100.00
59 75.00
60 75.00
