#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-De-RX100%-1hr.csc.log	1s-5m-10f-De-RX100%-1hr.csc.log
1	40.000	0.976
2	68.000	0.922
3	73.170	0.891
4	76.923	0.857
5	75.609	0.844
6	78.095	0.818
7	78.400	0.797
8	79.310	0.781
9	79.393	0.771
10	78.918	0.765
11	78.640	0.757
12	79.111	0.752
13	79.674	0.738
14	80.000	0.728
15	79.929	0.721
16	80.000	0.717
17	79.813	0.711
18	80.869	0.701
19	81.043	0.697
20	81.298	0.692
21	81.081	0.687
22	80.705	0.685
23	80.405	0.686
24	80.645	0.682
25	80.824	0.677
26	80.594	0.670
27	80.571	0.665
28	80.366	0.664
29	80.281	0.661
30	80.170	0.662
31	80.263	0.657
32	80.160	0.656
33	80.061	0.657
34	79.849	0.653
35	79.854	0.652
36	80.000	0.653
37	79.972	0.652
38	79.865	0.650
39	79.921	0.646
40	79.872	0.648
41	79.825	0.649
42	79.878	0.646
43	79.976	0.642
44	80.000	0.643
45	80.067	0.643
46	79.889	0.641
47	80.021	0.642
48	80.000	0.642
49	80.020	0.639
50	80.000	0.642
51	80.099	0.641
52	80.195	0.639
53	80.343	0.638
54	80.375	0.638
55	80.404	0.636
56	80.271	0.635
57	80.265	0.631
58	80.087	0.630
59	80.000	0.630
60	79.915	0.630
