#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-Dy-RX100%-1hr.csc.log
1	0.000	0.987
2	14.444	0.948
3	18.292	0.930
4	20.000	0.914
5	23.974	0.900
6	26.666	0.888
7	29.310	0.879
8	30.925	0.869
9	32.357	0.861
10	33.623	0.856
11	36.041	0.853
12	36.785	0.848
13	37.254	0.843
14	38.080	0.837
15	38.540	0.833
16	38.859	0.830
17	39.144	0.826
18	39.534	0.822
19	39.838	0.819
20	39.861	0.816
21	40.224	0.815
22	40.314	0.812
23	40.180	0.809
24	40.229	0.807
25	40.242	0.806
26	40.264	0.804
27	40.162	0.802
28	40.245	0.800
29	40.217	0.798
30	40.228	0.797
31	40.264	0.795
32	40.213	0.793
33	40.223	0.791
34	40.200	0.789
35	40.194	0.788
36	40.189	0.786
37	40.184	0.786
38	40.179	0.785
39	40.160	0.784
40	40.170	0.783
41	40.112	0.781
42	40.161	0.780
43	40.183	0.779
44	40.154	0.778
45	40.175	0.776
46	40.117	0.775
47	40.109	0.775
48	40.112	0.774
49	40.066	0.773
50	40.108	0.773
51	40.132	0.773
52	40.156	0.772
53	40.107	0.772
54	40.150	0.771
55	40.231	0.770
56	40.169	0.769
57	40.156	0.769
58	40.116	0.770
59	40.077	0.769
60	40.045	0.770
