#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log	1s-30m-30f--30metersRad-A-RX100%-1hr.csc.log
1	0.000	0.987
2	14.444	0.948
3	18.404	0.931
4	23.750	0.915
5	26.898	0.902
6	28.717	0.892
7	30.406	0.884
8	32.037	0.875
9	33.495	0.868
10	35.072	0.863
11	36.518	0.859
12	37.023	0.855
13	37.377	0.852
14	38.181	0.847
15	38.685	0.843
16	39.122	0.838
17	39.423	0.835
18	39.379	0.832
19	39.838	0.828
20	39.791	0.826
21	39.986	0.824
22	40.062	0.821
23	40.011	0.818
24	40.402	0.817
25	40.441	0.815
26	40.370	0.813
27	40.386	0.811
28	40.441	0.809
29	40.406	0.807
30	40.456	0.806
31	40.379	0.805
32	40.512	0.804
33	40.480	0.802
34	40.562	0.799
35	40.577	0.797
36	40.568	0.796
37	40.626	0.794
38	40.609	0.793
39	40.621	0.791
40	40.578	0.789
41	40.583	0.788
42	40.550	0.788
43	40.473	0.786
44	40.524	0.785
45	40.507	0.783
46	40.442	0.783
47	40.503	0.783
48	40.338	0.782
49	40.365	0.781
50	40.352	0.780
51	40.307	0.779
52	40.416	0.778
53	40.382	0.777
54	40.476	0.776
55	40.432	0.775
56	40.458	0.775
57	40.441	0.773
58	40.442	0.772
59	40.439	0.771
60	40.450	0.771
