#time(min)   pdr
1 0.00
2 80.00
3 100.00
4 66.66
5 86.66
6 87.50
7 86.66
8 70.58
9 81.25
10 62.50
11 75.00
12 75.00
13 70.58
14 75.00
15 73.33
16 75.00
17 70.58
18 66.66
19 75.00
20 68.75
21 75.00
22 62.50
23 76.47
24 68.75
25 86.66
26 64.70
27 100.00
28 82.35
29 64.70
30 75.00
31 64.70
32 73.33
33 70.58
34 73.33
35 68.75
36 75.00
37 64.70
38 62.50
39 78.57
40 58.82
41 75.00
42 64.70
43 80.00
44 64.70
45 73.33
46 58.82
47 80.00
48 64.70
49 73.33
50 87.50
51 68.75
52 70.58
53 73.33
54 58.82
55 80.00
56 64.70
57 107.14
58 62.50
59 81.25
60 64.70
