#time(min)	pdr	overhead:(icmp/(icmp+udp))
time(min)	1s-5m-10f-A-RX100%-1hr.csc.log	1s-5m-10f-A-RX100%-1hr.csc.log
1	0.000	0.985
2	55.555	0.947
3	68.750	0.922
4	72.000	0.893
5	73.846	0.881
6	72.500	0.875
7	72.164	0.867
8	74.107	0.859
9	73.643	0.853
10	75.172	0.844
11	76.250	0.840
12	76.704	0.837
13	76.288	0.831
14	76.076	0.829
15	76.000	0.825
16	75.416	0.821
17	74.708	0.819
18	74.632	0.822
19	74.137	0.817
20	74.098	0.815
21	73.520	0.813
22	73.293	0.813
23	73.087	0.812
24	73.097	0.810
25	72.727	0.809
26	72.388	0.807
27	72.182	0.806
28	72.183	0.804
29	72.160	0.802
30	72.258	0.801
31	72.291	0.800
32	72.032	0.800
33	72.373	0.799
34	72.813	0.799
35	72.477	0.797
36	72.321	0.796
37	72.395	0.794
38	72.222	0.793
39	72.413	0.792
40	72.160	0.790
41	72.230	0.791
42	72.146	0.789
43	72.106	0.788
44	72.173	0.788
45	72.056	0.787
46	72.122	0.785
47	72.244	0.786
48	72.340	0.784
49	72.561	0.783
50	72.611	0.783
51	72.750	0.783
52	72.705	0.783
53	72.716	0.783
54	72.705	0.782
55	72.601	0.782
56	72.500	0.780
57	72.352	0.780
58	72.179	0.780
59	72.198	0.779
60	72.169	0.778
